kfold_file,fold,feature,model_file,l2_rate,dropout,val_acc,test_acc
Dataset_10FoldCV_indexed.csv,1,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold0.h5,0.0008,0.5,0.9473684430122375,0.963350772857666
Dataset_10FoldCV_indexed.csv,2,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold1.h5,0.0008,0.5,0.9895287752151489,0.9476439952850342
Dataset_10FoldCV_indexed.csv,3,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold2.h5,0.0008,0.5,0.9528796076774597,0.9424083828926086
Dataset_10FoldCV_indexed.csv,4,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold3.h5,0.0008,0.5,0.963350772857666,0.9528796076774597
Dataset_10FoldCV_indexed.csv,5,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold4.h5,0.0008,0.5,0.9790576100349426,0.9476439952850342
Dataset_10FoldCV_indexed.csv,6,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold5.h5,0.0008,0.5,0.9790576100349426,0.9528796076774597
Dataset_10FoldCV_indexed.csv,7,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold6.h5,0.0008,0.5,0.9895287752151489,0.9162303805351257
Dataset_10FoldCV_indexed.csv,8,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold7.h5,0.0008,0.5,0.963350772857666,0.9473684430122375
Dataset_10FoldCV_indexed.csv,9,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold8.h5,0.0008,0.5,0.9789473414421082,0.9578947424888611
Dataset_10FoldCV_indexed.csv,10,"vein,fourier",Dataset_10FoldCV_indexed_models/ENCODER-vein_fourier-l2rate0.0008-dropout0.5-fold9.h5,0.0008,0.5,0.9789473414421082,0.9368420839309692
